Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO
나성범,62947,106,4,0.466,0.28,11.3,24.5,93,17,12,1,12,1,26
최승민,65905,10,0,0.463,0.111,10.0,20.0,9,3,1,0,1,0,2
양의지,76232,459,20,0.438,0.221,10.5,9.4,390,92,26,0,48,15,43
박병호,75125,532,33,0.412,0.28,14.7,22.0,432,66,22,0,78,13,117
샌즈,68345,608,28,0.41,0.238,12.7,16.6,525,92,39,1,77,6,101
강백호,68050,505,13,0.4,0.16,12.1,17.2,438,104,29,1,61,2,87
최정,75847,606,29,0.4,0.227,11.4,15.2,503,91,27,0,69,26,92
로하스,67025,578,24,0.395,0.207,8.5,20.8,521,111,30,3,49,3,120
러프,67450,568,22,0.395,0.222,14.1,15.3,472,79,35,2,80,7,87
최형우,72443,556,17,0.393,0.184,15.3,13.8,456,88,31,1,85,7,77
페르난데스,69209,647,15,0.391,0.138,9.4,8.3,572,148,34,0,61,6,54
김하성,64300,620,19,0.387,0.183,11.3,12.9,540,107,38,2,70,7,80
로맥,67872,589,29,0.382,0.232,12.4,19.9,504,81,28,1,73,6,117
박석민,74465,444,19,0.381,0.211,14.6,15.5,360,59,17,1,65,12,69
오재일,75334,530,21,0.376,0.201,10.4,18.7,467,86,29,1,55,3,99
박건우,79215,538,10,0.376,0.146,11.2,10.6,458,104,27,5,60,7,57
유민상,62265,202,5,0.376,0.171,11.9,17.3,175,31,15,0,24,3,35
터커,69652,401,9,0.376,0.168,9.5,11.0,357,69,33,0,38,3,44
민병헌,76249,415,9,0.37,0.149,10.1,13.3,369,77,24,2,42,5,55
박민우,62907,526,1,0.369,0.09,7.8,7.6,468,129,23,8,41,9,40
이정후,67341,629,6,0.369,0.12,7.2,6.4,574,146,31,10,45,4,40
전준우,78513,604,22,0.367,0.18,7.6,11.8,545,111,30,1,46,7,71
유한준,74339,562,14,0.365,0.126,9.3,10.9,501,125,19,1,52,4,61
황재균,76313,507,20,0.361,0.183,10.3,14.0,448,88,16,3,52,2,71
모창민,78813,386,10,0.357,0.161,8.0,16.1,341,71,21,2,31,3,62
박동원,79365,357,10,0.356,0.148,9.5,15.7,317,68,15,1,34,2,56
김현수,76290,596,11,0.355,0.133,9.1,8.7,526,112,37,0,54,6,52
이성열,73136,477,21,0.352,0.208,10.1,23.9,414,63,21,1,48,9,114
윌슨,69569,265,9,0.352,0.182,11.7,22.6,231,34,15,0,31,5,60
이대호,71564,547,16,0.351,0.151,8.6,11.9,485,98,23,1,47,11,65
안치홍,79608,409,5,0.351,0.097,9.8,9.0,362,90,18,1,40,1,37
페게로,69165,215,9,0.349,0.186,5.6,29.3,199,38,10,0,12,2,63
김재환,78224,576,15,0.349,0.152,10.9,19.6,495,100,20,5,63,5,113
한동민,62895,502,12,0.349,0.131,11.0,19.9,427,81,20,0,55,20,100
이형종,78135,483,13,0.349,0.155,8.7,16.1,419,82,24,1,42,10,78
채은성,79192,515,12,0.348,0.119,4.7,13.0,470,117,18,1,24,12,67
호잉,68730,526,18,0.348,0.176,7.2,17.1,476,89,26,2,38,5,90
김태균,71752,501,6,0.346,0.09,10.8,18.8,433,105,21,0,54,5,94
정의윤,75151,419,13,0.346,0.166,7.2,14.3,380,70,24,0,30,6,60
최재훈,78288,452,3,0.344,0.072,12.4,13.5,373,87,18,0,56,14,61
공민규,68407,60,3,0.341,0.189,10.0,30.0,53,9,1,0,6,1,18
손아섭,77532,564,10,0.341,0.105,9.2,16.3,512,118,22,1,52,1,92
서건창,78168,482,2,0.339,0.082,10.2,10.4,426,100,23,3,49,3,50
유강남,61102,468,16,0.338,0.167,6.4,17.5,418,75,22,0,30,13,82
고종욱,61353,513,3,0.337,0.098,3.5,17.3,492,124,25,7,18,1,89
구자욱,62404,526,15,0.337,0.177,7.2,16.7,475,79,27,6,38,7,88
이천웅,61186,614,2,0.336,0.066,9.3,13.4,546,139,24,3,57,5,82
노진혁,62931,390,13,0.335,0.19,7.9,20.5,348,54,23,2,31,2,80
조셉,69150,217,9,0.335,0.152,6.5,21.2,197,42,3,0,14,4,46
이원석,75566,455,19,0.332,0.198,9.0,14.9,389,58,20,0,41,8,68
송민섭,64012,64,0,0.332,0.038,9.4,20.3,53,15,0,1,6,3,13
이창진,64560,470,6,0.332,0.112,12.1,19.6,400,76,25,1,57,4,92
김헌곤,61404,467,5,0.33,0.09,7.9,8.8,411,96,20,1,37,8,41
이흥련,63440,44,0,0.328,0.095,4.5,27.3,42,10,2,1,2,0,12
이성규,66409,46,2,0.328,0.186,4.3,34.8,43,7,2,0,2,1,16
김재호,74206,470,4,0.328,0.09,14.3,12.3,377,75,22,0,67,7,58
윌리엄슨,69405,168,4,0.325,0.136,7.7,29.8,154,30,7,1,13,0,50
김선빈,78603,448,3,0.323,0.079,9.6,5.8,394,90,22,0,43,1,26
스몰린스키,69901,228,9,0.322,0.21,7.0,13.6,205,23,14,1,16,5,31
박계범,64468,204,4,0.322,0.131,10.8,22.1,168,30,8,1,22,5,45
조용호,64868,211,0,0.322,0.064,10.0,13.3,188,46,6,3,21,0,28
권희동,63963,413,6,0.321,0.101,12.1,14.5,348,66,17,0,50,7,60
아수아헤,69530,195,2,0.32,0.117,13.3,12.3,163,30,5,4,26,1,24
박세혁,62244,505,4,0.32,0.111,8.1,13.5,441,91,19,9,41,7,68
최진행,74729,129,6,0.32,0.205,7.0,21.7,117,15,6,0,9,2,28
황윤호,62908,131,1,0.319,0.097,3.8,9.2,124,30,5,2,5,0,12
김상수,79402,543,5,0.319,0.083,9.2,12.3,468,100,20,2,50,15,67
허경민,79240,541,4,0.319,0.082,6.3,6.7,475,107,25,1,34,17,36
오지환,79109,548,9,0.317,0.127,10.4,20.6,473,82,23,5,57,7,113
강민호,74540,393,13,0.317,0.171,8.4,19.3,346,48,20,0,33,9,76
이재원,76812,502,12,0.317,0.122,6.8,11.8,451,90,19,0,34,9,59
이명기,76849,547,2,0.317,0.06,8.8,12.1,484,120,17,3,48,4,66
신범수,66662,65,2,0.316,0.193,10.8,21.5,57,5,5,0,7,1,14
최윤석,60805,15,0,0.316,0.0,20.0,26.7,12,3,0,0,3,0,4
박경수,73113,490,10,0.316,0.128,11.2,20.8,421,70,24,0,55,4,102
김주찬,70410,366,3,0.314,0.074,4.6,12.0,337,82,16,0,17,5,44
박한이,71432,85,2,0.314,0.122,10.6,20.0,74,14,3,0,9,0,17
베탄코트,69950,224,8,0.314,0.158,8.0,22.8,203,34,8,0,18,1,51
김인태,63257,70,2,0.313,0.167,11.4,17.1,60,9,2,1,8,0,12
채태인,77463,183,5,0.31,0.156,6.0,24.6,167,26,11,0,11,2,45
이학주,69453,436,7,0.31,0.106,7.3,20.4,385,77,14,3,32,10,89
백용환,78643,51,2,0.309,0.17,5.9,27.5,47,7,2,0,3,1,14
김강민,71837,460,8,0.309,0.1,6.7,22.4,422,90,14,2,31,4,103
김혜성,67304,383,0,0.308,0.086,7.6,22.2,348,73,16,7,29,2,85
정수빈,79231,515,0,0.308,0.066,11.1,11.7,441,93,19,5,57,6,60
박용택,72133,215,1,0.307,0.062,8.4,14.0,195,45,9,0,18,0,30
최주환,76267,327,4,0.306,0.088,8.6,10.7,285,62,13,0,28,1,35
정근우,75808,305,3,0.306,0.076,6.6,14.1,277,63,10,1,20,4,43
김민성,77564,402,8,0.306,0.111,7.5,18.7,361,70,16,0,30,4,75
이원재,62025,285,8,0.306,0.137,7.0,16.5,256,47,11,0,20,1,47
한준수,68646,20,0,0.305,0.1,0.0,10.0,20,4,2,0,0,0,2
김재현,76869,49,0,0.305,0.1,8.2,20.4,40,9,2,1,4,0,10
김규민,62356,245,3,0.304,0.086,9.0,27.8,222,43,8,1,22,4,68
정은원,68743,625,8,0.303,0.112,7.7,16.2,564,107,27,6,48,0,101
나지완,78629,153,6,0.299,0.178,12.4,24.2,129,13,5,0,19,3,37
강진성,62925,104,2,0.298,0.124,2.9,19.2,97,17,4,1,3,4,20
김찬형,66917,154,1,0.298,0.078,3.9,13.6,141,32,4,2,6,4,21
오태곤,60558,392,6,0.298,0.102,7.9,19.9,352,65,16,1,31,4,78
김태진,64984,399,5,0.297,0.104,4.0,16.8,374,79,14,5,16,1,67
김민하,61554,140,2,0.297,0.096,6.4,29.3,125,24,6,0,9,3,41
장영석,79334,408,7,0.297,0.097,6.6,18.9,372,70,15,0,27,9,77
김동한,61204,85,0,0.297,0.051,7.1,17.6,78,18,4,0,6,0,15
김성욱,62934,333,9,0.296,0.157,8.7,20.7,287,40,16,1,29,3,69
장성우,78548,413,7,0.296,0.077,8.5,20.8,366,82,7,0,35,2,86
장진혁,66706,350,1,0.296,0.092,7.4,21.1,315,58,16,5,26,5,74
신성현,64086,54,1,0.295,0.073,18.5,25.9,41,7,0,0,10,1,14
손시헌,73213,149,2,0.294,0.089,3.4,15.4,135,29,4,1,5,5,23
김민혁,64004,521,0,0.293,0.026,6.1,11.7,466,120,10,1,32,13,61
심우준,64006,433,3,0.292,0.061,5.3,15.7,391,92,13,1,23,6,68
유재신,76368,59,0,0.292,0.078,10.2,20.3,51,10,2,1,6,0,12
변우혁,69727,61,1,0.292,0.075,11.5,27.9,53,10,1,0,7,1,17
김회성,79705,117,3,0.291,0.125,9.4,20.5,104,17,4,0,11,0,24
문선재,79113,61,3,0.29,0.184,14.8,29.5,49,5,0,0,9,1,18
이범호,70756,31,1,0.29,0.154,9.7,9.7,26,4,1,0,3,0,3
최영진,61197,275,5,0.29,0.127,5.1,17.1,251,42,15,1,14,2,47
김지수,79300,32,0,0.289,0.067,6.2,21.9,30,6,2,0,2,0,7
홍창기,66108,26,0,0.289,0.083,3.8,46.2,24,4,2,0,1,1,12
노수광,63704,445,2,0.289,0.062,10.3,15.3,388,78,16,1,46,2,68
박정음,62353,87,0,0.289,0.056,12.6,35.6,71,11,2,1,11,5,31
서상우,62164,24,0,0.288,0.048,12.5,33.3,21,4,1,0,3,0,8
지성준,64717,109,2,0.287,0.115,4.6,19.3,104,18,6,0,5,0,21
송광민,76753,487,7,0.287,0.093,4.3,18.7,454,92,21,0,21,3,91
박찬도,62409,34,0,0.287,0.031,5.9,29.4,32,8,1,0,2,0,10
류승현,66615,163,0,0.286,0.067,5.5,17.8,150,29,8,1,9,4,29
정훈,60523,218,2,0.286,0.063,10.6,21.6,190,36,4,1,23,5,47
정범모,76720,45,2,0.286,0.175,6.7,33.3,40,6,1,0,3,0,15
박해민,62415,581,5,0.286,0.089,10.0,14.1,506,93,16,7,58,2,82
강로한,65515,307,4,0.285,0.135,4.2,34.9,288,44,15,6,13,3,107
이우성,63260,169,6,0.283,0.146,7.1,23.7,151,23,4,0,12,2,40
허일,61566,161,1,0.283,0.047,7.5,17.4,149,33,4,0,12,1,28
박지규,65136,18,0,0.283,0.0,22.2,38.9,11,1,0,0,4,2,7
고승민,69517,89,0,0.283,0.12,4.5,18.0,83,13,6,2,4,0,16
강경학,61700,135,0,0.282,0.035,11.1,23.7,113,23,4,0,15,3,32
박정권,74846,37,1,0.281,0.125,13.5,29.7,32,4,1,0,5,0,11
지석훈,73306,169,2,0.28,0.101,5.9,21.9,149,23,9,0,10,6,37
강민국,64906,94,0,0.279,0.023,6.4,18.1,88,23,0,1,6,0,17
임병욱,64346,415,0,0.279,0.071,5.5,26.5,379,70,17,5,23,11,110
이지영,79456,331,1,0.279,0.032,4.5,8.5,308,80,5,1,15,1,28
전민수,78361,106,0,0.277,0.073,8.5,17.0,96,16,7,0,9,0,18
김태군,78122,28,0,0.277,0.0,14.3,28.6,22,4,0,0,4,2,8
김웅빈,65898,11,0,0.277,0.091,0.0,18.2,11,2,1,0,0,0,2
이준수,77654,49,0,0.276,0.028,18.4,22.4,36,6,1,0,9,1,11
류지혁,62234,316,0,0.275,0.036,7.6,12.7,276,61,6,2,24,7,40
박찬호,64646,542,2,0.274,0.058,4.8,15.3,504,110,15,4,26,4,83
신민재,65207,94,0,0.274,0.037,8.5,18.1,81,16,3,0,8,3,17
최항,62884,147,0,0.273,0.039,10.9,16.3,127,24,5,0,16,2,24
신본기,62556,411,1,0.272,0.032,5.8,15.1,375,86,9,0,24,7,62
김진곤,63088,34,0,0.272,0.067,5.9,23.5,30,6,2,0,2,0,8
이동훈,66702,31,0,0.271,0.032,0.0,25.8,31,8,1,0,0,0,8
송준석,64469,56,1,0.27,0.118,3.6,25.0,51,8,3,0,2,1,14
김용의,78217,210,0,0.27,0.061,11.4,18.1,179,31,5,3,24,2,38
오선진,78756,454,3,0.268,0.064,8.4,15.9,392,69,16,0,38,10,72
김동엽,66838,211,6,0.268,0.123,5.7,22.3,195,31,4,1,12,2,47
김성현,76802,472,1,0.268,0.054,7.0,9.1,426,86,16,2,33,2,43
한승택,63722,288,3,0.267,0.08,9.4,28.5,251,43,9,1,27,1,82
이상호,60566,256,0,0.266,0.03,3.5,8.6,234,58,7,0,9,2,22
박승욱,62802,245,3,0.266,0.09,5.7,20.4,223,42,3,4,14,2,50
송성문,65357,331,3,0.264,0.101,5.7,16.0,308,50,12,5,19,0,53
이정훈,67644,15,0,0.263,0.071,0.0,6.7,14,3,1,0,0,0,1
김형준,68912,119,2,0.262,0.103,6.7,20.2,107,17,5,0,8,0,24
허정협,65399,77,0,0.262,0.015,9.1,24.7,68,15,1,0,7,1,19
황대인,65610,28,0,0.262,0.08,3.6,28.6,25,3,2,0,1,2,8
하주석,62700,20,0,0.261,0.105,0.0,20.0,19,3,2,0,0,0,4
해즐베이커,69605,46,2,0.261,0.195,8.7,39.1,41,2,2,0,4,1,18
문상철,64007,68,2,0.26,0.117,5.9,38.2,60,9,1,0,4,2,26
국해성,79290,41,0,0.26,0.086,12.2,31.7,35,3,3,0,5,1,13
김준완,63920,19,0,0.26,0.0,10.5,10.5,16,4,0,0,2,0,2
정주현,79150,425,2,0.26,0.077,7.3,21.4,376,64,19,2,31,1,91
이대형,73153,19,0,0.259,0.071,21.1,26.3,14,1,1,0,4,0,5
김도환,69442,106,2,0.256,0.129,7.5,34.0,93,11,6,0,8,0,36
최정용,65464,21,0,0.254,0.0,0.0,47.6,21,6,0,0,0,0,10
나주환,73209,245,3,0.253,0.08,4.9,22.0,225,38,9,0,12,3,54
배영섭,79465,80,0,0.253,0.014,7.5,18.8,71,15,1,0,6,2,15
한동희,68525,206,2,0.253,0.08,8.7,27.7,187,27,9,0,18,0,57
최준우,68868,36,0,0.252,0.061,8.3,8.3,33,5,2,0,3,0,3
이병규,76100,22,0,0.251,0.105,9.1,31.8,19,1,2,0,2,1,7
주효상,66354,30,0,0.251,0.138,3.3,23.3,29,3,2,1,1,0,7
오윤석,64504,226,1,0.249,0.025,8.8,19.0,198,41,2,0,20,2,43
김문호,76509,111,0,0.249,0.068,3.6,27.0,103,18,7,0,4,0,30
정병곤,61104,31,0,0.247,0.037,6.5,12.9,27,4,1,0,2,2,4
이인행,60648,21,0,0.245,0.062,9.5,28.6,16,2,1,0,2,1,6
최원준,66606,255,1,0.245,0.086,6.3,20.0,232,31,11,3,16,4,51
나경민,66508,50,0,0.245,0.089,6.0,24.0,45,7,0,2,3,1,12
오재원,77248,206,3,0.245,0.107,12.1,24.3,177,17,8,1,25,0,50
윤석민,74215,178,2,0.244,0.059,3.9,13.5,169,33,4,0,7,0,24
남태혁,66052,24,0,0.243,0.0,8.3,12.5,22,5,0,0,2,0,3
최승준,76158,24,0,0.243,0.0,8.3,41.7,22,5,0,0,2,0,10
정준혁,63558,11,0,0.243,0.0,0.0,54.5,11,3,0,0,0,0,6
배정대,64166,84,0,0.243,0.054,8.3,27.4,74,11,4,0,7,1,23
